DATE,N7,TPU_RAW,TPU_SHARE,TPU
26115,32159,88,0.002736403,27.36403495
26146,31826,305,0.00958336,95.83359517
26177,31480,284,0.009021601,90.21601017
26207,34238,230,0.006717682,67.17682108
26238,33096,229,0.006919265,69.19265168
26268,33364,180,0.005395037,53.95036566
26299,33004,139,0.004211611,42.11610714
26330,31064,89,0.002865053,28.65052794
26359,33538,108,0.003220228,32.20227801
26390,32285,86,0.002663776,26.63775747
26420,32554,107,0.003286846,32.8684647
26451,32444,104,0.003205523,32.05523363
26481,31563,86,0.002724709,27.24709312
26512,31863,74,0.002322443,23.22442959
26543,32460,102,0.003142329,31.4232902
26573,34934,101,0.002891166,28.91166199
26604,33774,92,0.002723989,27.23988867
26634,33028,68,0.002058859,20.5885915
26665,33320,87,0.002611044,26.11044418
26696,30402,159,0.005229919,52.29919084
26724,34288,131,0.003820579,38.20578628
26755,33887,126,0.00371824,37.18240033
26785,34323,82,0.002389069,23.89068555
26816,33398,106,0.003173843,31.73842745
26846,32625,90,0.002758621,27.5862069
26877,33216,66,0.001986994,19.8699422
26908,32370,87,0.002687674,26.87673772
26938,32350,87,0.002689335,26.89335394
26969,32143,75,0.002333323,23.33322963
26999,31701,89,0.002807482,28.07482414
27030,31707,81,0.002554641,25.54640931
27061,29436,61,0.002072292,20.72292431
27089,33344,106,0.003178983,31.78982726
27120,31592,79,0.002500633,25.00633072
27150,33614,72,0.002141965,21.41964658
27181,33735,76,0.002252853,22.5285312
27211,30810,82,0.002661474,26.61473548
27242,32014,62,0.001936653,19.36652714
27273,32271,73,0.002262093,22.62092901
27303,34052,100,0.002936685,29.3668507
27334,32998,99,0.003000182,30.00181829
27364,32031,136,0.004245887,42.45886797
27395,31428,285,0.009068347,90.68346697
27426,29528,208,0.007044161,70.44161474
27454,32674,160,0.00489686,48.96859889
27485,31972,127,0.003972226,39.72225697
27515,33125,171,0.005162264,51.62264151
27546,31473,133,0.004225844,42.25844375
27576,31484,101,0.003207979,32.07978656
27607,31933,151,0.004728651,47.28650612
27638,31891,100,0.003135681,31.35680913
27668,30764,80,0.002600442,26.00442075
27699,31310,94,0.003002236,30.02235707
27729,30332,74,0.002439668,24.39667678
27760,30779,81,0.002631664,26.31664447
27791,29985,65,0.002167751,21.67750542
27820,32700,94,0.002874618,28.74617737
27851,31649,61,0.001927391,19.27391071
27881,33247,86,0.0025867,25.86699552
27912,31289,68,0.002173288,21.73287737
27942,31256,80,0.002559509,25.59508574
27973,31211,85,0.002723399,27.23398802
28004,31204,73,0.002339444,23.39443661
28034,33083,85,0.002569295,25.69295409
28065,31764,90,0.002833396,28.33396298
28095,32270,87,0.002696002,26.96002479
28126,31464,89,0.00282863,28.28629545
28157,29715,73,0.002456672,24.56671715
28185,33017,88,0.002665294,26.65293637
28216,31747,117,0.003685388,36.85387596
28246,33817,113,0.003341515,33.41514623
28277,31970,114,0.003565843,35.65842978
28307,31402,81,0.002579454,25.79453538
28338,31450,63,0.00200318,20.0317965
28369,32259,88,0.002727921,27.2792089
28399,34347,160,0.00465834,46.58339884
28430,33627,130,0.003865941,38.65941059
28460,32095,164,0.00510983,51.09830192
28491,31580,155,0.00490817,49.08169728
28522,29749,91,0.003058926,30.5892635
28550,33741,127,0.003763967,37.63966687
28581,34567,135,0.003905459,39.05458964
28611,34037,90,0.002644181,26.44181332
28642,34154,112,0.003279265,32.79264508
28672,32852,132,0.00401802,40.18020212
28703,23484,64,0.00272526,27.25259751
28734,27234,66,0.002423441,24.23441287
28764,28832,69,0.002393174,23.93174251
28795,33465,115,0.003436426,34.36426117
28825,33625,118,0.003509294,35.0929368
28856,32389,98,0.003025719,30.25718608
28887,31061,148,0.004764818,47.64817617
28915,35182,123,0.003496106,34.96105963
28946,34352,163,0.004744993,47.44993014
28976,34948,144,0.004120407,41.20407463
29007,33923,120,0.003537423,35.37422987
29037,33345,122,0.003658719,36.58719448
29068,33745,112,0.00331901,33.19010224
29099,34612,95,0.002744713,27.44712816
29129,35558,139,0.003909106,39.09106249
29160,35974,110,0.003057764,30.57763941
29190,35240,128,0.003632236,36.32236095
29221,34251,117,0.003415959,34.15958658
29252,33288,120,0.003604903,36.04902668
29281,35955,249,0.006925323,69.25323321
29312,33733,169,0.005009931,50.09930928
29342,35610,206,0.005784892,57.84891884
29373,35183,161,0.004576074,45.76073672
29403,33578,120,0.003573769,35.73768539
29434,34301,136,0.003964899,39.64898983
29465,34025,131,0.00385011,38.50110213
29495,36278,165,0.004548211,45.48211037
29526,35032,132,0.003767984,37.67983558
29556,33789,114,0.003373879,33.73879073
29587,38128,123,0.003225976,32.25975661
29618,35393,104,0.002938434,29.38434154
29646,40417,124,0.003068016,30.68015934
29677,38031,86,0.002261313,22.61313139
29707,38451,106,0.002756755,27.56755351
29738,37824,117,0.003093274,30.93274112
29768,36867,99,0.002685328,26.85328342
29799,38093,84,0.00220513,22.05129551
29830,38584,93,0.002410326,24.10325524
29860,41914,138,0.003292456,32.92455981
29891,40499,164,0.004049483,40.49482703
29921,39580,110,0.002779181,27.79181405
29952,38209,168,0.00439687,43.96869847
29983,36488,140,0.003836878,38.36877878
30011,38002,131,0.003447187,34.4718699
30042,38244,152,0.00397448,39.74479657
30072,39379,131,0.003326646,33.26646182
30103,37855,100,0.002641659,26.41658962
30133,37991,139,0.003658761,36.58761286
30164,36991,130,0.003514368,35.1436836
30195,37950,116,0.003056653,30.56653491
30225,40007,172,0.004299248,42.99247632
30256,37711,181,0.004799661,47.99660576
30286,40070,175,0.004367357,43.67357125
30317,35281,156,0.004421643,44.21643377
30348,33164,159,0.004794355,47.94355325
30376,41666,164,0.003936063,39.36062977
30407,37720,127,0.003366914,33.66914104
30437,41667,169,0.004055968,40.55967552
30468,39794,123,0.003090918,30.90918229
30498,39755,153,0.003848573,38.48572507
30529,40952,114,0.002783747,27.83746826
30560,41127,123,0.002990736,29.90736013
30590,43712,118,0.002699488,26.99487555
30621,44121,134,0.003037103,30.37102514
30651,43057,105,0.002438628,24.38627865
30682,40033,101,0.002522919,25.22918592
30713,39734,112,0.002818745,28.18744652
30742,43410,121,0.002787376,27.87376181
30773,41354,120,0.002901775,29.01774919
30803,42878,97,0.002262232,22.6223238
30834,39125,132,0.003373802,33.73801917
30864,39654,127,0.003202703,32.02703384
30895,38453,125,0.003250722,32.5072166
30926,34084,148,0.004342213,43.42213355
30956,36715,105,0.002859867,28.5986654
30987,37513,89,0.002372511,23.72510863
31017,36473,94,0.002577249,25.77248924
31048,40237,107,0.002659244,26.59243979
31079,37200,114,0.003064516,30.64516129
31107,42885,182,0.004243908,42.43908126
31138,42119,177,0.004202379,42.02378974
31168,45168,143,0.003165958,31.659582
31199,42812,149,0.003480333,34.80332617
31229,40083,202,0.005039543,50.39542948
31260,41206,173,0.004198418,41.98417706
31291,42312,254,0.006003025,60.03025147
31321,45381,164,0.003613847,36.13847205
31352,43960,174,0.003958144,39.58143767
31382,42953,191,0.004446721,44.46720834
31413,38508,155,0.004025138,40.25137634
31444,35694,147,0.004118339,41.18339217
31472,39731,160,0.004027082,40.27082127
31503,38747,169,0.004361628,43.61627997
31533,39793,166,0.004171588,41.71587968
31564,38097,157,0.004121059,41.21059401
31594,38391,123,0.003203876,32.03875908
31625,38921,147,0.003776881,37.76881375
31656,38244,188,0.004915804,49.15803786
31686,42422,184,0.004337372,43.37372118
31717,40447,179,0.004425545,44.2554454
31747,39323,132,0.003356814,33.56814078
31778,41797,214,0.005119985,51.19984688
31809,39127,190,0.004855982,48.55981803
31837,44900,289,0.006436526,64.36525612
31868,43471,362,0.008327391,83.27390674
31898,44864,193,0.00430189,43.01890157
31929,42115,187,0.004440223,44.40223198
31959,42945,204,0.004750262,47.50261963
31990,40704,126,0.003095519,30.95518868
32021,42215,155,0.003671681,36.71680682
32051,44879,201,0.004478709,44.78709419
32082,44805,228,0.005088718,50.88717777
32112,44335,191,0.004308109,43.08108718
32143,44372,220,0.004958082,49.58081673
32174,43377,264,0.006086175,60.86174701
32203,46818,246,0.005254389,52.54389337
32234,43962,165,0.003753241,37.53241436
32264,45975,149,0.003240892,32.40891789
32295,43953,185,0.004209041,42.09041476
32325,43054,195,0.004529196,45.29195894
32356,42437,163,0.003840988,38.40987817
32387,43447,186,0.004281078,42.81078095
32417,45575,213,0.004673615,46.7361492
32448,43521,222,0.005100986,51.00985731
32478,44973,223,0.004958531,49.58530674
32509,43348,161,0.003714128,37.14127526
32540,40763,138,0.003385423,33.85423055
32568,46137,152,0.003294536,32.94535839
32599,44654,159,0.003560711,35.60711246
32629,45018,191,0.004242747,42.42747346
32660,43509,174,0.003999173,39.99172585
32690,42266,167,0.003951166,39.51166422
32721,43163,140,0.003243519,32.43518754
32752,42958,136,0.003165883,31.65882955
32782,46805,154,0.003290247,32.90246769
32813,45362,130,0.002865835,28.6583484
32843,44764,165,0.003685998,36.85997677
32874,45924,142,0.003092065,30.92065151
32905,42691,131,0.003068562,30.6856246
32933,47869,176,0.003676701,36.76700996
32964,45827,167,0.00364414,36.44139918
32994,47959,181,0.003774057,37.74057007
33025,45528,184,0.004041469,40.41468986
33055,45148,180,0.003986888,39.8688757
33086,46160,157,0.003401213,34.01213172
33117,45798,152,0.003318922,33.18922224
33147,49176,148,0.003009598,30.09598178
33178,47684,169,0.003544166,35.44165758
33208,45420,189,0.004161162,41.61162483
33239,49545,163,0.003289938,32.8993844
33270,45388,142,0.00312858,31.28580241
33298,48442,161,0.003323562,33.23562198
33329,47302,188,0.003974462,39.74461968
33359,49597,212,0.004274452,42.74452084
33390,47114,185,0.003926646,39.26646008
33420,46809,206,0.004400863,44.00863082
33451,46118,156,0.003382627,33.82627174
33482,46699,155,0.003319129,33.19128889
33512,49551,177,0.003572077,35.72077254
33543,46103,178,0.00386092,38.60920114
33573,45587,191,0.004189791,41.89790949
33604,47137,241,0.005112756,51.12756433
33635,45420,192,0.004227213,42.27212682
33664,49584,165,0.003327686,33.2768635
33695,47777,190,0.003976809,39.76808925
33725,48391,164,0.00338906,33.89059949
33756,46391,181,0.003901619,39.01618848
33786,47675,240,0.005034085,50.3408495
33817,46857,254,0.005420748,54.20748234
33848,46575,213,0.004573269,45.73268921
33878,49904,246,0.004929465,49.29464572
33909,47166,308,0.006530128,65.30127634
33939,45424,211,0.004645122,46.45121522
33970,51663,273,0.005284246,52.84245979
34001,48768,284,0.005823491,58.23490814
34029,53925,222,0.004116829,41.16828929
34060,53692,251,0.004674812,46.7481189
34090,54230,238,0.004388715,43.88714734
34121,52333,232,0.004433149,44.33149256
34151,51556,282,0.00546978,54.69780433
34182,50670,221,0.004361555,43.61555161
34213,51948,267,0.005139755,51.3975514
34243,56190,291,0.005178857,51.78857448
34274,54542,518,0.009497268,94.9726816
34304,54013,390,0.007220484,72.20483958
34335,49355,186,0.003768615,37.68615135
34366,46227,229,0.004953815,49.5381487
34394,50877,266,0.005228296,52.28295694
34425,48665,225,0.004623446,46.23446008
34455,50556,263,0.005202152,52.02152069
34486,49414,179,0.003622455,36.22455175
34516,49159,186,0.003783641,37.83640839
34547,47122,155,0.003289334,32.89334069
34578,48295,187,0.003872036,38.72036443
34608,51314,197,0.003839108,38.39108236
34639,48809,290,0.005941527,59.41527177
34669,48440,217,0.004479769,44.79768786
34700,48222,193,0.004002323,40.02322591
34731,44169,170,0.003848853,38.48853268
34759,50228,159,0.003165565,31.65565023
34790,48356,171,0.003536273,35.36272645
34820,48864,296,0.006057629,60.57629339
34851,47699,288,0.006037862,60.37862429
34881,46367,180,0.003882071,38.82071301
34912,45309,118,0.002604339,26.04339094
34943,43450,133,0.00306099,30.60989643
34973,55246,155,0.002805633,28.05632987
35004,46875,143,0.003050667,30.50666667
35034,45494,142,0.003121291,31.2129072
35065,46148,182,0.003943833,39.43832885
35096,44229,202,0.004567139,45.67139207
35125,46644,185,0.003966212,39.6621216
35156,43267,147,0.003397508,33.97508494
35186,44299,166,0.003747263,37.47262918
35217,42524,143,0.003362807,33.62806886
35247,43211,132,0.003054778,30.54777719
35278,41589,121,0.002909423,29.09423165
35309,42280,108,0.002554399,25.54399243
35339,45716,121,0.002646776,26.46775746
35370,41736,122,0.002923136,29.23135902
35400,38519,129,0.003348997,33.48996599
35431,38441,103,0.002679431,26.79430816
35462,37259,131,0.003515929,35.15929037
35490,40606,123,0.003029109,30.29108999
35521,40204,129,0.003208636,32.08635957
35551,40132,135,0.003363899,33.63899133
35582,38992,134,0.003436602,34.3660238
35612,39507,121,0.003062748,30.62748374
35643,39810,109,0.002738006,27.38005526
35674,41469,140,0.003376016,33.76015819
35704,44610,164,0.003676306,36.76305761
35735,42268,199,0.004708053,47.08053374
35765,41918,134,0.003196717,31.96717401
35796,43994,135,0.0030686,30.68600264
35827,41912,107,0.002552968,25.52968124
35855,46578,139,0.002984241,29.84241487
35886,44529,137,0.003076647,30.7664668
35916,46768,120,0.002565857,25.65856996
35947,45919,154,0.003353732,33.53731571
35977,42663,155,0.003633125,36.33124722
36008,42706,138,0.003231396,32.31396057
36039,44375,144,0.00324507,32.45070423
36069,46198,156,0.00337677,33.76769557
36100,44364,134,0.003020467,30.20467045
36130,43137,154,0.003570021,35.70021096
36161,43579,149,0.003419078,34.19077996
36192,40104,138,0.003441053,34.41053262
36220,45253,177,0.003911343,39.11342894
36251,44378,155,0.003492722,34.92721619
36281,44854,136,0.00303206,30.32059571
36312,43874,145,0.003304919,33.04918631
36342,42908,136,0.003169572,31.69572108
36373,42166,136,0.003225347,32.25347436
36404,42784,130,0.003038519,30.38519073
36434,46569,152,0.003263974,32.63973888
36465,42295,207,0.004894196,48.94195531
36495,41603,173,0.004158354,41.58353965
36526,41722,134,0.003211735,32.11734816
36557,41170,116,0.002817586,28.17585621
36586,45333,167,0.003683851,36.83850617
36617,41382,146,0.003528104,35.28104007
36647,42978,212,0.004932756,49.32756294
36678,42387,116,0.002736688,27.36688136
36708,43200,138,0.003194444,31.94444444
36739,44159,129,0.002921262,29.21261804
36770,46064,154,0.003343175,33.43174713
36800,48271,123,0.002548114,25.48113774
36831,46460,125,0.002690486,26.9048644
36861,42929,128,0.002981667,29.81667404
36892,45021,117,0.002598787,25.98787233
36923,41654,86,0.002064628,20.64627647
36951,47052,118,0.002507864,25.0786364
36982,43713,150,0.003431473,34.31473475
37012,46414,129,0.002779334,27.79333822
37043,43767,132,0.003015971,30.15970937
37073,43150,148,0.003429896,34.29895713
37104,43485,123,0.002828562,28.28561573
37135,43515,105,0.002412961,24.12961048
37165,47417,114,0.002404201,24.04201025
37196,45751,154,0.003366047,33.66046644
37226,42871,147,0.003428891,34.28891325
37257,44256,140,0.003163413,31.63412871
37288,41942,134,0.003194888,31.94888179
37316,46216,249,0.005387745,53.87744504
37347,43498,159,0.00365534,36.55340475
37377,45473,187,0.00411233,41.12330394
37408,43737,174,0.003978325,39.78324988
37438,41861,170,0.004061059,40.6105922
37469,42309,146,0.003450802,34.5080243
37500,44064,122,0.0027687,27.68700073
37530,47318,154,0.003254575,32.54575426
37561,46147,147,0.003185473,31.85472512
37591,44493,110,0.002472299,24.72299013
37622,45896,116,0.002527453,25.27453373
37653,42757,135,0.003157378,31.57377739
37681,48121,112,0.002327466,23.27466179
37712,45539,74,0.001624981,16.24980786
37742,46156,132,0.002859867,28.5986654
37773,45040,148,0.003285968,32.85968028
37803,43960,125,0.002843494,28.43494086
37834,43989,108,0.002455159,24.55159244
37865,44463,177,0.003980838,39.80838
37895,48719,153,0.003140459,31.40458548
37926,45238,227,0.005017905,50.17905301
37956,43521,203,0.004664415,46.6441488
37987,45338,140,0.003087917,30.8791742
38018,44069,156,0.003539903,35.39903333
38047,46454,126,0.002712361,27.12360615
38078,45096,128,0.002838389,28.38389214
38108,45168,140,0.003099539,30.99539497
38139,43589,100,0.002294157,22.94156783
38169,43498,149,0.003425445,34.25444848
38200,44333,128,0.00288724,28.87239754
