"Date","Agric","Food","Soda","Beer","Smoke","Toys","Fun","Books","Hshld","Clths","Hlth","MedEq","Drugs","Chems","Rubbr","Txtls","BldMt","Cnstr","Steel","FabPr","Mach","ElcEq","Autos","Aero","Ships","Guns","Gold","Mines","Coal","Oil","Util","Telcm","PerSv","BusSv","Hardw","Softw","Chips","LabEq","Paper","Boxes","Trans","Whlsl","Rtail","Meals","Banks","Insur","RlEst","Fin","Other","RMRF","RF","MacroU","TPU","ShortRate","EPU","FinU"
1990-11-01,0.0825,0.0524,0.099,0.0525,0.079,0.0988,0.1241,0.1076,0.0754,0.1558,0.0823,0.1248,0.0924,0.1005,0.1054,0.0849,0.0701,0.1067,0.0293,0.1223,0.1004,0.0548,0.0293,0.0213,0.0953,0.1006,-0.0518,0.0572,-0.0443,0.0166,0.0229,0.0211,0.0655,0.0884,0.122,0.1653,0.0652,0.0913,0.0716,0.0367,0.0551,0.0626,0.1176,0.0841,0.1619,0.1553,0.0197,0.0778,-0.0308,0.0635,0.0057,0.681158783,35.44165758,7.3399,152,1.010758642
1990-12-01,-0.0216,0.0487,0.0258,0.0236,0.0536,0.0212,0.0291,0.0569,0.0333,0.0792,0.028,0.037,0.0268,0.034,0.0561,0.0832,0.0521,-0.0068,0.08,0.0033,0.0455,0.0574,-0.0126,0.039,0.0338,0.0515,0.1497,0.0034,0.0209,-0.0204,0.0078,0.015,0.0617,0.0515,0.0408,0.0486,0.0424,0.0315,0.0685,0.0624,0.0523,0.0489,0.0286,0.0498,0.0751,0.0512,0.0111,0.0221,0.0707,0.0246,0.006,0.680978775,41.61162483,7.0803,134,0.978844459
1991-01-01,0.0686,0.0307,0.0562,0.0465,0.0268,0.1185,0.0496,0.0938,0.0078,0.1831,0.1085,0.0931,0.0346,0.0566,0.0695,0.1107,0.1048,0.0659,0.0814,0.1032,0.0725,0.1149,0.0734,0.067,0.0172,0.0708,-0.166,0.0848,-0.039,-0.0204,-0.0137,2e-04,0.0534,0.1049,0.1549,0.204,0.1221,0.0948,0.0472,0.122,0.1246,0.0312,0.117,0.011,0.0834,0.0627,0.057,0.0732,0.1249,0.0469,0.0052,0.682172876,32.8993844,6.7377,204,0.972738759
1991-02-01,0.1048,0.1205,0.0743,0.1086,0.0768,0.1765,0.1015,0.0318,0.0626,0.1576,0.0788,0.0973,0.1009,0.0604,0.0609,0.1192,0.0703,0.2164,0.0666,0.0683,0.0811,0.0683,0.1046,0.0152,0.0862,-0.0147,0.0594,0.118,0.1317,0.0853,0.0484,0.0325,0.08,0.0711,0.0508,0.0798,0.0572,0.1641,0.0522,0.0552,0.0548,0.0858,0.077,0.1571,0.1238,0.0921,0.0745,0.1155,0.0681,0.0719,0.0048,0.669721394,31.28580241,6.4069,107,0.957775026
1991-03-01,0.0242,0.0614,0.0588,0.0568,0.0137,0.0438,-0.023,0.0051,0.0415,0.0462,0.1218,0.09,0.0441,-0.0025,0.0827,0.0343,0.0285,-0.0616,0.0051,0.0463,-0.0258,0.025,-0.0055,0.0024,-0.0078,0.0624,-0.0223,-4e-04,-0.0367,0.0133,0.0171,0.0214,0.0401,0.1065,-0.0301,0.0481,0.0466,0.03,0.0089,0.0848,-0.0195,0.0324,0.0939,0.0972,0.0478,0.052,0.1095,0.096,-0.038,0.0265,0.0044,0.649972846,33.23562198,6.5319,108,0.914924304
1991-04-01,-0.0054,-0.009,-0.0181,-0.0402,-0.0348,0.0305,-0.0368,0.0308,-0.0145,0.0148,-0.0199,-0.0225,-0.0092,0.0331,0.0109,0.0275,0.0061,-0.0376,-0.0014,0.0033,-0.0279,0.0127,-0.0272,-0.0064,0.0823,-0.0131,-0.014,0.0343,0.0612,0.0245,-4e-04,0.0113,-0.0046,2e-04,-0.0562,-0.0351,0.0245,-0.0041,0.0221,1e-04,0.0358,0.0146,0.0264,-0.0181,0.0608,-0.0183,-0.0322,0.0096,-1e-04,-0.0028,0.0053,0.639226302,39.74461968,6.351,93,0.883744647
1991-05-01,0.1065,0.0264,0.0304,0.0383,0.0394,0.0427,0.039,0.0452,0.0396,0.0238,0.0588,0.0536,0.045,0.1004,0.0621,0.0456,0.0766,0.0551,0.0423,0.0657,0.0909,0.1004,0.1599,0.0622,-0.0751,0.0399,0.0393,-0.0069,-0.0735,-0.0137,0.0015,-0.0147,0.0929,0.0146,0.0202,0.0658,0.0634,0.057,0.0936,0.055,0.0787,0.0668,0.0822,0.0628,0.0703,0.0262,-0.0125,0.0402,0.0426,0.0365,0.0047,0.623791484,42.74452084,6.2065,82,0.874961059
1991-06-01,-0.0518,-0.0412,-0.0637,-0.0574,-0.0637,-0.0546,-0.0412,-0.0706,-0.0753,-0.028,-0.0718,-0.0473,-0.0387,-0.0329,-0.0368,0.0146,-0.046,-0.1073,-0.0472,-0.0283,-0.0712,-0.0452,-0.0276,-0.0348,-0.0871,-0.0065,0.1001,0.0423,0.0356,-0.0368,-0.0237,-0.015,-0.041,-0.0495,-0.0981,-0.083,-0.0967,-0.0305,-0.0326,0.0053,-0.0524,-0.0254,-0.0441,-0.0723,-0.0673,-0.0459,-0.0353,-0.0358,-0.0816,-0.0494,0.0042,0.613727852,39.26646008,6.404,86,0.869608382
1991-07-01,0.0556,0.0573,-0.0646,0.091,0.0743,0.0076,0.0491,0.0179,0.0492,0.0372,0.1002,0.0809,0.0842,0.0492,0.0417,0.1049,0.071,0.0043,0.0446,0.0691,0.0131,0.0016,-0.0136,0.0576,0.0616,0.0141,-0.0387,0.0147,-0.0128,0.0507,0.0399,0.0311,0.0388,0.0154,0.0614,0.0726,0.0183,0.0057,-0.0071,0.0573,0.0561,0.0565,0.0564,0.0124,0.0945,0.0104,0.0137,0.0736,0.0183,0.0424,0.0049,0.598262792,44.00863082,6.3461,81,0.851982775
1991-08-01,0.0584,0.0649,-0.0083,0.0595,0.0694,0.0134,-0.0036,0.0186,0.0438,0.0862,-0.0026,0.0361,0.0316,0.0075,0.0688,0.0042,0.0383,0.0052,0.0079,0.0648,0.0014,0.0212,-0.0348,0.0314,-0.0732,-0.0411,-0.0928,-0.0191,0.0373,0.016,0.0351,0.0067,0.0092,0.0189,0.0011,0.1118,0.0297,0.0348,0.0043,0.0573,0.0123,-0.0164,0.0494,0.0054,0.0804,0.0014,0.0216,0.0459,0.0318,0.0232,0.0046,0.583813427,33.82627174,5.9048,99,0.836901852
